NCSI	0000	1.398	1.372	1.293	1.034	0.554	0.184	0.047	0.011	0.003	0.001
NCSL	0001	1.275	1.263	1.225	1.085	0.725	0.297	0.084	0.020	0.005	0.001
NCNI	0010	1.227	1.226	1.223	1.206	1.141	0.924	0.507	0.172	0.045	0.011
NRSI	0100	1.370	1.352	1.296	1.098	0.662	0.243	0.065	0.016	0.004	0.001
NRSL	0101	1.375	1.363	1.324	1.179	0.800	0.335	0.095	0.023	0.005	0.001
NRNI	0110	1.397	1.396	1.394	1.385	1.348	1.208	0.834	0.356	0.102	0.025
NRNL	0111	1.219	1.219	1.217	1.212	1.187	1.089	0.804	0.376	0.114	0.028
ICSI	1000	1.119	1.110	1.080	0.969	0.671	0.288	0.083	0.020	0.005	0.001
ICSL	1001	1.184	1.177	1.155	1.067	0.803	0.388	0.120	0.030	0.007	0.002
ICNI	1010	1.306	1.305	1.303	1.290	1.239	1.057	0.646	0.241	0.065	0.016
ICNL	1011	1.000	0.998	0.993	0.971	0.886	0.642	0.293	0.088	0.022	0.005
IRSI	1100	1.273	1.262	1.226	1.092	0.742	0.310	0.088	0.022	0.005	0.001
IRSL	1101	1.282	1.273	1.244	1.132	0.813	0.367	0.109	0.027	0.006	0.001
IRNI	1110	1.450	1.449	1.448	1.440	1.409	1.287	0.938	0.431	0.129	0.032
IRNL	1111	1.250	1.250	1.249	1.245	1.227	1.155	0.920	0.490	0.162	0.042
